slug,name,geography,url
/conservation-area/local-authority-eng/BEX/COA00000566,COA00000566,conservation-area:COA00000566,https://digital-land.github.io//conservation-area/local-authority-eng/BEX/COA00000566
/conservation-area/local-authority-eng/BEX/COA00000715,COA00000715,conservation-area:COA00000715,https://digital-land.github.io//conservation-area/local-authority-eng/BEX/COA00000715
/conservation-area/local-authority-eng/BEX/COA00000717,COA00000717,conservation-area:COA00000717,https://digital-land.github.io//conservation-area/local-authority-eng/BEX/COA00000717
,,,
/conservation-area/local-authority-eng/BEX/COA00000718,COA00000718,conservation-area:COA00000718,https://digital-land.github.io//conservation-area/local-authority-eng/BEX/COA00000718
/conservation-area/local-authority-eng/BEX/COA00000719,COA00000719,conservation-area:COA00000719,https://digital-land.github.io//conservation-area/local-authority-eng/BEX/COA00000719
/conservation-area/local-authority-eng/BEX/COA00000720,COA00000720,conservation-area:COA00000720,https://digital-land.github.io//conservation-area/local-authority-eng/BEX/COA00000720
,,,
/conservation-area/local-authority-eng/CMD/COA00000423,Alexandra Road COA00000423,conservation-area:COA00000423,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000423
/conservation-area/local-authority-eng/CMD/kml-176,Alexandra Road,conservation-area:kml_176,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-176
,,,
/conservation-area/local-authority-eng/CMD/COA00000424,Camden Broadway COA00000424,conservation-area:COA00000424,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000424
/conservation-area/local-authority-eng/CMD/kml-26,Camden Broadway,conservation-area:kml_26,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-26
,,,
/conservation-area/local-authority-eng/CMD/COA00000425,Bartholomew Estate COA00000425,conservation-area:COA00000425,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000425
/conservation-area/local-authority-eng/CMD/kml-31,Bartholomew Estate,conservation-area:kml_31,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-31
,,,
/conservation-area/local-authority-eng/CMD/COA00000434,Hanway Street COA00000434,conservation-area:COA00000434,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000434
/conservation-area/local-authority-eng/CMD/kml-170,Hanway Street,conservation-area:kml_170,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-170
,,,
/conservation-area/local-authority-eng/CMD/COA00000440,Harmood Street COA00000440,conservation-area:COA00000440,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000440
/conservation-area/local-authority-eng/CMD/kml-116,Harmood Street,conservation-area:kml_116,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-116
,,,
/conservation-area/local-authority-eng/CMD/COA00000441,Hatton Garden COA00000441,conservation-area:COA00000441,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000441
/conservation-area/local-authority-eng/CMD/kml-208,Hatton Garden,conservation-area:kml_208,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-208
,,,
/conservation-area/local-authority-eng/CMD/COA00000443,Holly Lodge Estate COA00000443,conservation-area:COA00000443,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000443
/conservation-area/local-authority-eng/CMD/kml-72,Holly Lodge Estate,conservation-area:kml_72,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-72
,,,
/conservation-area/local-authority-eng/CMD/COA00000444,Inkerman COA00000444,conservation-area:COA00000444,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000444
/conservation-area/local-authority-eng/CMD/kml-70,Inkerman,conservation-area:kml_70,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-70
,,,
/conservation-area/local-authority-eng/CMD/COA00000448,Kingsway COA00000448,conservation-area:COA00000448,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000448
/conservation-area/local-authority-eng/CMD/kml-84,Kingsway,conservation-area:kml_84,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-84
,,,
/conservation-area/local-authority-eng/CMD/COA00000451,Rochester COA00000451,conservation-area:COA00000451,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000451
/conservation-area/local-authority-eng/CMD/kml-132,Rochester,conservation-area:kml_132,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-132
,,,
/conservation-area/local-authority-eng/CMD/COA00000454,Primrose Hill COA00000454,conservation-area:COA00000454,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/COA00000454
/conservation-area/local-authority-eng/CMD/kml-174,Primrose Hill,conservation-area:kml_174,https://digital-land.github.io//conservation-area/local-authority-eng/CMD/kml-174
,,,
